timestamp,test-class,test-method,time,description,result
"2022-05-17 12:11:42.12","acme.testing.any.chirp.AnyChripCreateTest","positiveTest",18201,""[1] recordIndex=0, title=Ejemplo1, author=anónimo, body=Este es un ejemplo de prueba positivo, email=null, confirmation=true"","A form was expected, but doesn't exist"
"2022-05-17 12:11:52.976","acme.testing.any.chirp.AnyChripCreateTest","positiveTest",10057,""[2] recordIndex=1, title=Ejemplo2, author=Pedro, body=Este es otro ejemplo de prueba positivo algo más largo que el anterior, email=pedro@gmail.com, confirmation=true"","A form was expected, but doesn't exist"
"2022-05-17 12:12:04.184","acme.testing.any.chirp.AnyChripCreateTest","positiveTest",10307,""[3] recordIndex=2, title=A, author=A, body=A, email=A@gmail.com, confirmation=true"","A form was expected, but doesn't exist"
"2022-05-17 12:12:15.744","acme.testing.any.chirp.AnyChripCreateTest","positiveTest",10705,""[4] recordIndex=3, title=Me he dormido en el teclado zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, author=Estoy usando un nombre extremadamente laaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaargoo, body=Me he vuelto a quedar dormido en el teclado zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, email=ejemplolargo@gmail.com, confirmation=true"","A form was expected, but doesn't exist"
"2022-05-17 12:12:27.357","acme.testing.any.chirp.AnyChripCreateTest","positiveTest",10874,""[5] recordIndex=4, title=UltimoEjemplo, author=Ped, body=Este es el último ejemplo de prueba positivo que contiene unos campos más largos que otros como por ejemplo el cuerpo que es más largo que el autor que solo tiene 3 letras en su nombre, email=pedro@gmail.com, confirmation=true"","A form was expected, but doesn't exist"
"2022-05-17 12:12:32.772","acme.testing.any.chirp.AnyChripCreateTest","negativeTest",4534,""[1] recordIndex=0, title=Ejemplo1, author=anónimo, body=Este es un ejemplo de prueba negativo sin la confirmación, email=null, confirmation=false"","OK"
"2022-05-17 12:12:38.644","acme.testing.any.chirp.AnyChripCreateTest","negativeTest",5035,""[2] recordIndex=1, title=Ejemplo2, author=Pedro, body=Este es otro ejemplo de prueba negativo ahora con un correo inválido, email=pedro, confirmation=true"","OK"
"2022-05-17 12:12:44.339","acme.testing.any.chirp.AnyChripCreateTest","negativeTest",4969,""[3] recordIndex=2, title=null, author=Pedro, body=Este es otro ejemplo de prueba negativo sin título, email=pedro@gmail.com, confirmation=true"","OK"
"2022-05-17 12:12:50.269","acme.testing.any.chirp.AnyChripCreateTest","negativeTest",4974,""[4] recordIndex=3, title=Ejemplo4, author=null, body=Este es otro ejemplo de prueba negativo sin autor, email=pedro@gmail.com, confirmation=true"","OK"
"2022-05-17 12:12:55.994","acme.testing.any.chirp.AnyChripCreateTest","negativeTest",4889,""[5] recordIndex=4, title=Ejemplo5, author=Pedro, body=null, email=pedro@gmail.com, confirmation=true"","OK"
"2022-05-17 12:12:56.903","acme.testing.any.chirp.AnyChripCreateTest","hackingTest",2,""hackingTest()"","OK"
